source_file,artefact,prompt,evaluator,run,score,raw_text
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,0,82,82
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,1,85,85
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,2,88,88
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,3,84,84
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,4,87,87
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,5,88,88
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,6,83,83
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,7,84,84
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,8,88,88
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,9,82,82
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,10,87,87
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,11,88,88
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,12,86,86
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,13,85,85
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,14,87,87
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,15,86,86
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,16,87,87
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,17,85,85
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,18,87,87
batch_output_score_do_you_like_anti_sycophantic.jsonl,L01,do_you_like,anti_sycophantic,19,88,88
batch_output_score_do_you_like_anti_sycophantic.jsonl,L02,do_you_like,anti_sycophantic,0,42,42
batch_output_score_do_you_like_anti_sycophantic.jsonl,L02,do_you_like,anti_sycophantic,1,45,45
batch_output_score_do_you_like_anti_sycophantic.jsonl,L02,do_you_like,anti_sycophantic,2,58,58
batch_output_score_do_you_like_anti_sycophantic.jsonl,L02,do_you_like,anti_sycophantic,3,57,57
batch_output_score_do_you_like_anti_sycophantic.jsonl,L02,do_you_like,anti_sycophantic,4,58,58
batch_output_score_do_you_like_anti_sycophantic.jsonl,L02,do_you_like,anti_sycophantic,5,56,56
